epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
150,0.0017608314825773113,1.7608314825773113,0.0015630666578157445,1.5630666578157444,0.02,150,-0.7243181937406464,-0.03839723219167141
151,0.0027972969498751316,2.7972969498751317,0.002639714528475597,2.639714528475597,0.02,150,-0.728767763040764,-0.035791013551967635
152,0.0024584685028360828,2.458468502836083,0.0021454382338451797,2.1454382338451796,0.02,150,-0.7327782708873811,-0.033755333616580646
153,0.0021703733160512995,2.1703733160512995,0.0020037807673142652,2.0037807673142654,0.02,150,-0.7378341386967555,-0.028987223919786562
154,0.0033396508541918687,3.3396508541918686,0.00313991072760876,3.13991072760876,0.02,150,-0.7432226385077226,-0.024844072045809937
155,0.0030127759817823395,3.0127759817823394,0.002604881942263848,2.604881942263848,0.02,150,-0.7468352003507193,-0.024798252869529445
156,0.003249492748970965,3.2494927489709653,0.0031214110124575434,3.1214110124575436,0.02,150,-0.752344333855691,-0.020784139353800798
157,0.0023709383173946513,2.370938317394651,0.002257809004137523,2.257809004137523,0.02,150,-0.7570853325805028,-0.018583526825020517
158,0.0037977690535258585,3.7977690535258586,0.003249412831705112,3.249412831705112,0.02,150,-0.761194196451922,-0.017941140940790867
159,0.0018374091238311037,1.8374091238311037,0.0016099779746403568,1.6099779746403569,0.02,150,-0.7667612703441308,-0.01575251658268561
160,0.0034879210472426787,3.4879210472426787,0.0032251645000724344,3.2251645000724345,0.02,150,-0.7714392336949332,-0.014576927653168464
161,0.002076635641780729,2.076635641780729,0.0017908257139322148,1.7908257139322148,0.02,150,-0.7760782771046753,-0.014374340945429649
162,0.0022365292179911253,2.236529217991125,0.0020539573768849463,2.0539573768849464,0.02,150,-0.7817152703524223,-0.011114951843483309
163,0.0030470798411808314,3.0470798411808313,0.002842902559138616,2.842902559138616,0.02,150,-0.7868586245380328,-0.008757348351613747
164,0.0028331653067411033,2.8331653067411033,0.002403245182223198,2.403245182223198,0.02,150,-0.7906365184901353,-0.00934628553403472
165,0.0015231563395817049,1.523156339581705,0.0013534476009900412,1.3534476009900411,0.02,165,-0.7959708385245163,-0.006085758878626153
