molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,display_reference_Ha,display_RHF,display_FCI,display_unit
H2O,4,0.9000049686095962,-0.0894043500698648,-74.94473178500326,-74.9880398330304,-0.04330804802714283,-43.30804802714283,-74.96590119230045,21.169407297193743,-22.13864072994909,mHa
H2O,5,0.9077792599200193,-0.08163005875944174,-74.94852820398167,-74.99271739740897,-0.04418919342730021,-44.18919342730021,-74.96590119230045,17.3729883187832,-26.81620510851701,mHa
H2O,6,0.9155535512304422,-0.07385576744901878,-74.95189949404875,-74.99698557886782,-0.04508608481907572,-45.08608481907572,-74.96590119230045,14.001698251703942,-31.08438656737178,mHa
H2O,7,0.9233278425408653,-0.06608147613859572,-74.95486391581031,-75.00086287095411,-0.04599895514380137,-45.99895514380137,-74.96590119230045,11.037276490142744,-34.96167865365862,mHa
H2O,8,0.9311021338512884,-0.05830718482817265,-74.95743888999577,-75.00436692458509,-0.04692803458931394,-46.92803458931394,-74.96590119230045,8.462302304678815,-38.46573228463512,mHa
H2O,9,0.9388764251617113,-0.0505328935177497,-74.95964104632206,-75.00751459669772,-0.04787355037565533,-47.87355037565533,-74.96590119230045,6.260145978387754,-41.61340439726757,mHa
H2O,10,0.9466507164721344,-0.042758602207326635,-74.96148626918632,-75.01032199572973,-0.04883572654340185,-48.83572654340185,-74.96590119230045,4.414923114126168,-44.42080342927568,mHa
H2O,11,0.9544250077825573,-0.03498431089690368,-74.96298974034647,-75.01280452409114,-0.04981478374466519,-49.81478374466519,-74.96590119230045,2.911451953977462,-46.90333179068773,mHa
H2O,12,0.9621992990929804,-0.027210019586480616,-74.96416597875154,-75.01497691779232,-0.05081093904078671,-50.81093904078671,-74.96590119230045,1.7352135489119291,-49.07572549187478,mHa
H2O,13,0.9699735904034035,-0.01943572827605755,-74.9650288776729,-75.01685328337712,-0.05182440570420965,-51.82440570420965,-74.96590119230045,0.8723146275428917,-50.95209107666676,mHa
H2O,14,0.9777478817138265,-0.011661436965634486,-74.96559173929221,-75.01844713232205,-0.05285539302984432,-52.85539302984432,-74.96590119230045,0.3094530082421443,-52.54594002160218,mHa
H2O,15,0.9855221730242495,-0.0038871456552115324,-74.96586730689306,-75.01977141304593,-0.05390410615287067,-53.90410615287067,-74.96590119230045,0.03388540739024393,-53.870220745480424,mHa
H2O,16,0.9932964643346726,0.0038871456552115324,-74.96586779479925,-75.02083854067745,-0.05497074587819384,-54.97074587819384,-74.96590119230045,0.033397501198351165,-54.93734837699549,mHa
H2O,17,1.0010707556450955,0.011661436965634486,-74.96560491620397,-75.02166042472334,-0.05605550851936414,-56.05550851936414,-74.96590119230045,0.29627609647775444,-55.759232422886384,mHa
H2O,18,1.0088450469555186,0.01943572827605755,-74.96508990902286,-75.02224849477234,-0.05715858574947674,-57.15858574947674,-74.96590119230045,0.811283277585062,-56.34730247189168,mHa
H2O,19,1.0166193382659416,0.027210019586480616,-74.96433355990357,-75.02261372436905,-0.05828016446548645,-58.28016446548645,-74.96590119230045,1.5676323968847328,-56.71253206860172,mHa
H2O,20,1.0243936295763647,0.03498431089690368,-74.96334622651966,-75.02276665318503,-0.059420426665369064,-59.420426665369064,-74.96590119230045,2.5549657807886206,-56.86546088458044,mHa
H2O,21,1.0321679208867875,0.042758602207326524,-74.96213785827123,-75.0227174076112,-0.06057954933996257,-60.57954933996257,-74.96590119230045,3.7633340292160256,-56.81621531074654,mHa
