molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FG,22,train,15,486,0.0014000939406002832,1.4000939406002832,0.0023995079605914796,2.3995079605914795,0.00809379058699175,8.09379058699175,0.01110999063891352,11.10999063891352
CO,FG,22,test,15,486,0.0012421816974902097,1.2421816974902096,0.0014774294256594046,1.4774294256594045,0.0030363576676346593,3.0363576676346593,0.005258118046110677,5.258118046110677
CO,FG,23,train,15,415,0.0012560135323448462,1.2560135323448463,0.001914533973888339,1.9145339738883391,0.005532627133198104,5.532627133198104,0.00842047301716145,8.42047301716145
CO,FG,23,test,15,415,0.001024728348853876,1.024728348853876,0.0014052630567238749,1.4052630567238749,0.003068079124967371,3.068079124967371,0.005380401947884389,5.380401947884389
CO,FG,24,train,15,124,0.0012269289282711333,1.2269289282711333,0.0018838117766963403,1.8838117766963403,0.0054423275169009355,5.442327516900935,0.008841234849834623,8.841234849834622
CO,FG,24,test,15,124,0.0009736595927883285,0.9736595927883285,0.0012719629180003918,1.2719629180003917,0.003278251001081034,3.278251001081034,0.005085575083962013,5.085575083962013
CO,FG,25,train,15,385,0.0012505475879953135,1.2505475879953136,0.0019127655397383017,1.9127655397383017,0.005863350124777872,5.863350124777872,0.008393488572488617,8.393488572488616
CO,FG,25,test,15,385,0.0009794017346930546,0.9794017346930546,0.0012567644323838115,1.2567644323838116,0.0028677355757628364,2.867735575762836,0.004921643149242899,4.921643149242899
CO,FG,26,train,15,324,0.0012296642120844063,1.2296642120844063,0.0018985604910434055,1.8985604910434055,0.005472034355135186,5.472034355135186,0.008430598896815494,8.430598896815495
CO,FG,26,test,15,324,0.0009740922511814539,0.9740922511814538,0.0013375978623014987,1.3375978623014988,0.002938579810122549,2.9385798101225493,0.005240697806951494,5.240697806951494
CO,FG,27,train,15,232,0.0011832493372113987,1.1832493372113988,0.0019462308122516361,1.946230812251636,0.006070196908909753,6.070196908909753,0.008883133259206505,8.883133259206504
CO,FG,27,test,15,232,0.0009328888050334216,0.9328888050334216,0.001206762111798221,1.206762111798221,0.0027852520343559506,2.785252034355951,0.004822969325272736,4.8229693252727355
CO,FG,28,train,15,371,0.0012350241046062526,1.2350241046062527,0.001923567920543224,1.9235679205432241,0.005928067886178723,5.928067886178723,0.008489642956803795,8.489642956803795
CO,FG,28,test,15,371,0.0009596569491972462,0.9596569491972462,0.0012494770633563763,1.2494770633563763,0.0028408432963183405,2.8408432963183405,0.0048921461827492185,4.892146182749219
CO,FG,29,train,15,129,0.0013166261156783358,1.3166261156783359,0.0019716706551808775,1.9716706551808774,0.005554735276664169,5.554735276664169,0.0076462047189853055,7.646204718985306
CO,FG,29,test,15,129,0.001139507542208697,1.139507542208697,0.0014696327016520806,1.4696327016520807,0.0026395573745262024,2.6395573745262024,0.0052335224330862795,5.2335224330862795
CO,FG,30,train,15,178,0.0011816679709310792,1.1816679709310791,0.0019241049376792253,1.9241049376792254,0.006163647255613636,6.163647255613636,0.008877819585933228,8.877819585933228
