molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_re_Ha,E_RHF_minus_E_re_Ha,E_RHF_relative_mHa
CO,7,1.1001185335226296,-0.04536214243137038,-111.21908340041051,-111.22544951413585,0.006366113725334799,6.366113725334799
CO,8,1.1054552561616144,-0.0400254197923855,-111.22054968097953,-111.22544951413585,0.004899833156315481,4.899833156315481
CO,9,1.110791978800599,-0.03468869715340084,-111.22181099030658,-111.22544951413585,0.00363852382926666,3.63852382926666
CO,10,1.1161287014395838,-0.02935197451441618,-111.22287389874302,-111.22544951413585,0.0025756153928284675,2.5756153928284675
CO,11,1.1214654240785686,-0.024015251875431298,-111.2237447864152,-111.22544951413585,0.0017047277206501121,1.7047277206501121
CO,12,1.1268021467175533,-0.01867852923644664,-111.22442984903658,-111.22544951413585,0.0010196650992639888,1.0196650992639888
CO,13,1.1321388693565382,-0.013341806597461758,-111.22493510350722,-111.22544951413585,0.0005144106286252281,0.5144106286252281
CO,14,1.1374755919955228,-0.0080050839584771,-111.22526639330833,-111.22544951413585,0.00018312082751492653,0.18312082751492653
CO,15,1.1428123146345075,-0.0026683613194924405,-111.22542939370388,-111.22544951413585,2.012043196941704e-05,0.02012043196941704
CO,16,1.1481490372734924,0.0026683613194924405,-111.2254296167568,-111.22544951413585,1.9897379047506547e-05,0.019897379047506547
CO,17,1.153485759912477,0.0080050839584771,-111.2252724161674,-111.22544951413585,0.00017709796844656012,0.17709796844656012
CO,18,1.1588224825514617,0.013341806597461758,-111.22496299194428,-111.22544951413585,0.00048652219156508636,0.48652219156508636
CO,19,1.1641592051904466,0.01867852923644664,-111.22450639491372,-111.22544951413585,0.0009431192221285301,0.94311922212853
CO,20,1.1694959278294312,0.024015251875431298,-111.22390753107553,-111.22544951413585,0.0015419830603207174,1.5419830603207174
CO,21,1.1748326504684161,0.02935197451441618,-111.22317116581318,-111.22544951413585,0.0022783483226618273,2.2783483226618273
CO,22,1.1801693731074008,0.03468869715340084,-111.22230192796394,-111.22544951413585,0.003147586171905914,3.147586171905914
CO,23,1.1855060957463854,0.0400254197923855,-111.22130431375541,-111.22544951413585,0.004145200380435199,4.145200380435199
CO,24,1.1908428183853703,0.04536214243137038,-111.22018269061604,-111.22544951413585,0.00526682351980412,5.26682351980412
CO,25,1.196179541024355,0.05069886507035504,-111.21894130086403,-111.22544951413585,0.006508213271814611,6.508213271814611
CO,26,1.2015162636633399,0.05603558770933992,-111.21758426528072,-111.22544951413585,0.007865248855125628,7.865248855125628
CO,27,1.2068529863023245,0.06137231034832458,-111.2161155865738,-111.22544951413585,0.009333927562039435,9.333927562039435
CO,28,1.2121897089413092,0.06670903298730924,-111.21453915273601,-111.22544951413585,0.010910361399837143,10.910361399837143
CO,29,1.217526431580294,0.07204575562629412,-111.21285874030252,-111.22544951413585,0.012590773833323965,12.590773833323965
CO,30,1.2228631542192787,0.07738247826527878,-111.21107801751454,-111.22544951413585,0.01437149662130821,14.37149662130821
