molecule,point_index,basis,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,E_CAS_active_Ha,E_core_including_nuclear_Ha,E_nuclear_Ha,n_frozen_orbitals,n_active_orbitals,n_active_electrons,status,error
NH3,19,sto-3g,1.0554239268484131,0.02290136039438262,-55.453955249784016,-55.52651263220799,-0.07255738242397314,-72.55738242397314,-19.771126489544812,-35.75538614266318,11.482494564467416,1,7,8,PASS,
NH3,20,sto-3g,1.0619671726753797,0.029444606221349146,-55.45302663211662,-55.52664918528843,-0.0736225531718091,-73.6225531718091,-19.71905714078177,-35.807592044506656,11.411745876018939,1,7,8,PASS,
NH3,21,sto-3g,1.068510418502346,0.03598785204831545,-55.45188568479819,-55.52658862909036,-0.07470294429217006,-74.70294429217006,-19.667430235743957,-35.859158393346405,11.341863676193205,1,7,8,PASS,
NH3,22,sto-3g,1.0750536643293125,0.042531097875281976,-55.45053985026124,-55.52633862587424,-0.07579877561300208,-75.79877561300208,-19.616241753148508,-35.91009687272573,11.272832143506347,1,7,8,PASS,
NH3,23,sto-3g,1.081596910156279,0.0490743437022485,-55.44899632714219,-55.52590659474224,-0.0769102676000486,-76.9102676000486,-19.56548771144174,-35.9604188833005,11.204635839330116,1,7,8,PASS,
NH3,24,sto-3g,1.0881401559832453,0.055617589529214806,-55.44726207995508,-55.5252997211979,-0.07803764124281543,-78.03764124281543,-19.515164169851552,-36.010135551346345,11.137259696380836,1,7,8,PASS,
NH3,25,sto-3g,1.0946834018102118,0.06216083535618133,-55.44534384826648,-55.52452496619935,-0.07918111793286897,-79.18111793286897,-19.46526722923806,-36.05925773696129,11.070689007621263,1,7,8,PASS,
NH3,26,sto-3g,1.1012266476371781,0.06870408118314764,-55.44324815539376,-55.52358907473349,-0.08034091933973286,-80.34091933973286,-19.415793032758238,-36.107796041975256,11.004909415558002,1,7,8,PASS,
NH3,27,sto-3g,1.1077698934641447,0.07524732701011416,-55.440981316654636,-55.522498583935715,-0.08151726728107889,-81.51726728107889,-19.366737766354724,-36.15576081758099,10.939906901918357,1,7,8,PASS,
NH3,28,sto-3g,1.1143131392911112,0.08179057283708069,-55.438549447186766,-55.521259830775016,-0.08271038358824967,-82.71038358824967,-19.318097659079463,-36.20316217169555,10.875667777690746,1,7,8,PASS,
NH3,29,sto-3g,1.1208563851180775,0.08833381866404699,-55.43595846936264,-55.51987895932938,-0.08392048996674362,-83.92048996674362,-19.269868983264566,-36.25000997606482,10.812178673514078,1,7,8,PASS,
NH3,30,sto-3g,1.127399630945044,0.09487706449101352,-55.433214119820576,-55.51836192767183,-0.08514780785125708,-85.14780785125708,-19.222048054551628,-36.296313873120205,10.749426530401708,1,7,8,PASS,
N2,1,sto-3g,1.0602973735344006,-0.07355392064141952,-107.47926683532586,-107.62503083003969,-0.14576399471383183,-145.76399471383183,-31.640678287144553,-75.98435254289514,24.455104749194902,2,8,10,PASS,
N2,2,sto-3g,1.0653700577165675,-0.06848123645925264,-107.48232151347028,-107.62952685650184,-0.1472053430315583,-147.2053430315583,-31.58581516799265,-76.04371168850916,24.33866349750405,2,8,10,PASS,
N2,3,sto-3g,1.0704427418987343,-0.06340855227708575,-107.48511134323486,-107.63376856904458,-0.14865722580971408,-148.65722580971408,-31.531260150317635,-76.10250841872694,24.223325844674648,2,8,10,PASS,
N2,4,sto-3g,1.0755154260809012,-0.058335868094918863,-107.48764430886756,-107.63776395700583,-0.15011964813827205,-150.11964813827205,-31.477013271494783,-76.16075068551105,24.109076175286347,2,8,10,PASS,
N2,5,sto-3g,1.0805881102630681,-0.05326318391275198,-107.489928179267,-107.64152079292647,-0.1515926136594743,-151.5926136594743,-31.42307450107539,-76.21844629185108,23.995899167137278,2,8,10,PASS,
N2,6,sto-3g,1.0856607944452348,-0.04819049973058531,-107.49197051349537,-107.64504663811122,-0.15307612461585052,-153.07612461585052,-31.36944374288528,-76.27560289522594,23.88377978439379,2,8,10,PASS,
N2,7,sto-3g,1.0907334786274017,-0.043117815548418426,-107.49377866615201,-107.64834884805192,-0.15457018189991345,-154.57018189991345,-31.316120837076525,-76.3322280109754,23.772703270931387,2,8,10,PASS,
N2,8,sto-3g,1.0958061628095686,-0.03804513136625154,-107.49535979260683,-107.65143457770868,-0.15607478510185047,-156.07478510185047,-31.2631055621344,-76.3883290155743,23.66265514386062,2,8,10,PASS,
