molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB2_prime,3,test,15,496,train,0.0005328338446501639,0.000556045669767243,0.556045669767243,0.0006873947125634833,0.6873947125634833,0.0016676438166325358,1.6676438166325358,0.002247160795541936,2.247160795541936,1
CO,MB2_prime,4,train,15,483,train,0.0005885418855396498,0.0005885418855396498,0.5885418855396498,0.0007132225887903432,0.7132225887903432,0.0014778374582588572,1.4778374582588572,0.0021358779449284215,2.1358779449284215,1
CO,MB2_prime,4,test,15,483,train,0.0005885418855396498,0.0006113970461301022,0.6113970461301022,0.0007496392677285578,0.7496392677285578,0.001786921950188869,1.786921950188869,0.0024376119651151607,2.4376119651151607,1
CO,MB2_prime,5,train,15,500,train,0.00037086366106997744,0.00037086366106997744,0.3708636610699774,0.0004457507788921052,0.4457507788921052,0.0009859844718056177,0.9859844718056177,0.0014200380862565143,1.4200380862565143,1
CO,MB2_prime,5,test,15,500,train,0.00037086366106997744,0.0003909050704875738,0.39090507048757384,0.00048388481341651233,0.48388481341651235,0.0012006821990625527,1.2006821990625527,0.0016290695694141655,1.6290695694141655,1
CO,MB2_prime,6,train,15,498,train,0.0005766234436848464,0.0005766234436848464,0.5766234436848464,0.0006931618513651734,0.6931618513651734,0.0014230881770926629,1.4230881770926629,0.0020961232897116766,2.0961232897116764,1
CO,MB2_prime,6,test,15,498,train,0.0005766234436848464,0.0006011551071300765,0.6011551071300766,0.0007301891924098003,0.7301891924098003,0.0017311614683247767,1.7311614683247767,0.0023948753048345095,2.3948753048345095,1
CO,MB2_prime,7,train,15,500,train,0.0051540427470698315,0.0051540427470698315,5.154042747069831,0.005983149588755872,5.9831495887558725,0.010953993250504335,10.953993250504334,0.019278165269818626,19.278165269818626,1
CO,MB2_prime,7,test,15,500,train,0.0051540427470698315,0.005289010339531956,5.289010339531956,0.006197858216092191,6.1978582160921905,0.011865597425986862,11.865597425986863,0.019708926944285665,19.708926944285665,1
CO,MB2_prime,8,train,15,489,train,0.0005238346281445594,0.0005238346281445594,0.5238346281445594,0.00063477429452138,0.63477429452138,0.0013261219848659522,1.3261219848659522,0.001917461730207043,1.917461730207043,1
CO,MB2_prime,8,test,15,489,train,0.0005238346281445594,0.0005469838625697147,0.5469838625697147,0.0006709818559276754,0.6709818559276753,0.0016111742471292545,1.6111742471292545,0.0021935413585844055,2.1935413585844055,1
CO,MB2_prime,9,train,15,496,train,0.000678713431224029,0.000678713431224029,0.6787134312240289,0.0008169688235714425,0.8169688235714425,0.0016722731076127262,1.6722731076127262,0.00243515771670777,2.43515771670777,1
CO,MB2_prime,9,test,15,496,train,0.000678713431224029,0.0006997263103700172,0.6997263103700172,0.0008542205909944874,0.8542205909944874,0.0020143350543098404,2.01433505430984,0.0027738664897352383,2.773866489735238,1
CO,MB2_prime,10,train,15,496,train,0.00027504271555816586,0.00027504271555816586,0.27504271555816584,0.0003703982025034836,0.37039820250348365,0.0009964365533940422,0.9964365533940422,0.001244171235153746,1.244171235153746,1
CO,MB2_prime,10,test,15,496,train,0.00027504271555816586,0.00030523848293193543,0.30523848293193545,0.00043102876530798253,0.4310287653079825,0.0011853394681728968,1.1853394681728968,0.0014349141689689038,1.4349141689689038,1
CO,MB2_prime,11,train,15,499,train,0.0007062026503827737,0.0007062026503827737,0.7062026503827737,0.0009101889454449848,0.9101889454449849,0.0023304309103558962,2.3304309103558962,0.003095274600318332,3.095274600318332,1
CO,MB2_prime,11,test,15,499,train,0.0007062026503827737,0.0007819295738051272,0.7819295738051272,0.0010465270584893705,1.0465270584893704,0.0027092629724023154,2.7092629724023154,0.003481267640241842,3.4812676402418417,1
CO,MB2_prime,12,train,15,499,train,0.0005822478948731909,0.0005822478948731909,0.5822478948731908,0.0007134438006981068,0.7134438006981068,0.0016854434048799716,1.6854434048799716,0.002299850669746445,2.299850669746445,1
CO,MB2_prime,12,test,15,499,train,0.0005822478948731909,0.000608587581912127,0.608587581912127,0.0007864829142700091,0.7864829142700092,0.0020090205659537563,2.0090205659537563,0.0026292894743611406,2.6292894743611406,1
CO,MB2_prime,13,train,15,499,train,0.0006309668322987627,0.0006309668322987627,0.6309668322987627,0.0008169001802601122,0.8169001802601122,0.002093936798420293,2.093936798420293,0.0027410363770820623,2.7410363770820623,1
CO,MB2_prime,13,test,15,499,train,0.0006309668322987627,0.0006930346224502781,0.6930346224502781,0.0009327362092260759,0.9327362092260759,0.0024352481079329413,2.4352481079329413,0.0030786064959602566,3.0786064959602566,1
CO,MB2_prime,14,train,15,497,train,0.000744636443570255,0.000744636443570255,0.7446364435702549,0.0009563874401998142,0.9563874401998141,0.0024107529247617276,2.4107529247617276,0.0032236754128046052,3.2236754128046052,1
CO,MB2_prime,14,test,15,497,train,0.000744636443570255,0.0008286926586225411,0.828692658622541,0.001098381181943548,1.098381181943548,0.0027815709757838536,2.7815709757838536,0.0035859615245947274,3.5859615245947274,1
CO,MB2_prime,15,train,15,499,train,0.0022646055009691245,0.0022646055009691245,2.2646055009691244,0.0026886160733071815,2.6886160733071813,0.005664471689173445,5.664471689173444,0.00840965705690988,8.40965705690988,1
CO,MB2_prime,15,test,15,499,train,0.0022646055009691245,0.002379943955137516,2.379943955137516,0.002895365727205614,2.895365727205614,0.006225727084136823,6.225727084136823,0.00891365665071292,8.91365665071292,1
CO,MB2_prime,16,train,15,467,train,0.0005934620320150833,0.0005934620320150833,0.5934620320150833,0.0007265333592319324,0.7265333592319324,0.0015785795600984365,1.5785795600984365,0.002203783744320731,2.203783744320731,1
