molecule,geom_index,bond_length_angstrom,E_RHF_Ha,E_FCI_frozen_core_Ha,E_corr_Ha,E_corr_mHa,E_corr_over_1p6_mHa,RHF_within_1p6_mHa_of_FCI
CO,7,1.1054552561616144,-111.22054968097953,-111.35417991503999,-0.13363023406046182,-133.63023406046182,-83.51889628778864,False
CO,8,1.110791978800599,-111.22181099030658,-111.35657297633577,-0.13476198602918998,-134.76198602918998,-84.22624126824374,False
CO,9,1.1161287014395838,-111.22287389874302,-111.35877341735934,-0.135899518616327,-135.899518616327,-84.93719913520437,False
CO,10,1.1214654240785686,-111.2237447864152,-111.36078760656233,-0.13704282014712987,-137.04282014712987,-85.65176259195617,False
CO,11,1.1268021467175533,-111.22442984903658,-111.36262172608699,-0.13819187705040292,-138.19187705040292,-86.36992315650183,False
CO,12,1.1321388693565382,-111.22493510350722,-111.36428177735228,-0.13934667384505417,-139.34667384505417,-87.09167115315886,False
CO,13,1.1374755919955228,-111.22526639330833,-111.36577358643628,-0.14050719312794513,-140.50719312794513,-87.8169957049657,False
CO,14,1.1428123146345075,-111.22542939370388,-111.36710280926314,-0.14167341555926782,-141.67341555926782,-88.54588472454239,False
CO,15,1.1481490372734924,-111.2254296167568,-111.36827493660542,-0.14284531984861815,-142.84531984861815,-89.27832490538634,False
CO,16,1.153485759912477,-111.2252724161674,-111.36929529890793,-0.1440228827405292,-144.0228827405292,-90.01430171283076,False
CO,17,1.1588224825514617,-111.22496299194428,-111.3701690709442,-0.14520607899991944,-145.20607899991944,-90.75379937494965,False
CO,18,1.1641592051904466,-111.22450639491372,-111.37090127630943,-0.14639488139570744,-146.39488139570744,-91.49680087231715,False
CO,19,1.1694959278294312,-111.22390753107553,-111.37149679176288,-0.14758926068735434,-147.58926068735434,-92.24328792959646,False
CO,20,1.1748326504684161,-111.22317116581318,-111.37196035142048,-0.14878918560729915,-148.78918560729915,-92.99324100456197,False
CO,21,1.1801693731074008,-111.22230192796394,-111.37229655080849,-0.14999462284454523,-149.99462284454523,-93.74663927784077,False
CO,22,1.1855060957463854,-111.22130431375541,-111.37250985078512,-0.1512055370297105,-151.2055370297105,-94.50346064356907,False
CO,23,1.1908428183853703,-111.22018269061604,-111.37260458133233,-0.15242189071628331,-152.42189071628331,-95.26368169767707,False
CO,24,1.196179541024355,-111.21894130086403,-111.37258494522735,-0.15364364436331357,-153.64364436331357,-96.02727772707098,False
CO,25,1.2015162636633399,-111.21758426528072,-111.37245502159894,-0.15487075631821767,-154.87075631821767,-96.79422269888605,False
CO,26,1.2068529863023245,-111.2161155865738,-111.37221876937149,-0.1561031827976791,-156.1031827976791,-97.56448924854944,False
CO,27,1.2121897089413092,-111.21453915273601,-111.37188003060393,-0.15734087786792372,-157.34087786792372,-98.33804866745233,False
CO,28,1.217526431580294,-111.21285874030252,-111.37144253372787,-0.15858379342535045,-158.58379342535045,-99.11487089084403,False
CO,29,1.2228631542192787,-111.21107801751454,-111.37090989669002,-0.15983187917548491,-159.83187917548491,-99.89492448467807,False
HF,0,0.801790953348378,-98.5307719511332,-98.54893506412213,-0.018163112988929697,-18.163112988929697,-11.35194561808106,False
HF,1,0.8123890047457313,-98.53722266111241,-98.55600372938855,-0.0187810682761409,-18.7810682761409,-11.738167672588062,False
HF,2,0.8229870561430845,-98.54300636117621,-98.56242196028202,-0.019415599105812475,-19.415599105812475,-12.134749441132797,False
HF,3,0.8335851075404377,-98.54816362527447,-98.56823067523639,-0.020067049961923544,-20.067049961923544,-12.541906226202215,False
HF,4,0.844183158937791,-98.55273226906885,-98.57346803067931,-0.020735761610453096,-20.735761610453096,-12.959851006533185,False
HF,5,0.8547812103351442,-98.55674759073393,-98.57816966163804,-0.021422070904108637,-21.422070904108637,-13.388794315067898,False
HF,6,0.8653792617324975,-98.56024258873789,-98.58236889926542,-0.02212631052752556,-22.12631052752556,-13.828944079703476,False
HF,7,0.8759773131298507,-98.5632481583459,-98.58609696703014,-0.02284880868424466,-22.84880868424466,-14.280505427652912,False
HF,8,0.886575364527204,-98.56579326853112,-98.58938315725817,-0.02358988872704515,-23.58988872704515,-14.743680454403219,False
HF,9,0.8971734159245571,-98.56790512090173,-98.59225498964645,-0.024349868744721448,-24.349868744721448,-15.218667965450905,False
HF,10,0.9077714673219104,-98.56960929219986,-98.59473835330452,-0.025129061104664174,-25.129061104664174,-15.705663190415109,False
HF,11,0.9183695187192636,-98.57092986184449,-98.59685763381383,-0.025927771969335822,-25.927771969335822,-16.20485748083489,False
